id	profile	name	region	sector	subsector	col	row	ni	nr	notes
ORT-CAS-A0101	32M1V0P-1T	Uthivaiox	ORT	CAS-01	A	01	01	1	T	
ORT-CAS-A0104	54M2L2W-0H	Saeaereol	ORT	CAS-01	A	01	04	0	H	
ORT-CAS-A0105	42M0V0P-0H	Brkeieveik	ORT	CAS-01	A	01	05	0	H	
ORT-CAS-A0106	43M0V0R-0H	Kni	ORT	CAS-01	A	01	06	0	H	
ORT-CAS-A0107	32M2L2R-1H	Naer	ORT	CAS-01	A	01	07	1	H	
ORT-CAS-A0108	22M1A3--1H	Mbraiosdrathob	ORT	CAS-01	A	01	08	1	H	
ORT-CAS-A0202	54X0V0P-0T	Susisdrix	ORT	CAS-01	A	02	02	0	T	
ORT-CAS-A0203	43T1E1H-1H	Aethmneith	ORT	CAS-01	A	02	03	1	H	
ORT-CAS-A0205	33T1E2H-1H	Olathdraiaol	ORT	CAS-01	A	02	05	1	H	
ORT-CAS-A0207	53B0V2C-0H	Stroeisoreieix	ORT	CAS-01	A	02	07	0	H	
ORT-CAS-A0208	32T1A5X-2H	Reiaesstroun	ORT	CAS-01	A	02	08	2	H	
ORT-CAS-A0210	22I1E1--1H	Sailik	ORT	CAS-01	A	02	10	1	H	pending-link:ORT-CAS-E0202;pending-link:ORT-CAS-E0101;pending-link:ORT-CAS-E0401;pending-link:ORT-CAS-E0201;pending-link:ORT-CAS-E0301
ORT-CAS-A0301	52I1V3--0H	Elibrthu	ORT	CAS-01	A	03	01	0	H	
ORT-CAS-A0304	53C0V0W-0H	En	ORT	CAS-01	A	03	04	0	H	
ORT-CAS-A0305	53X2A2P-0H	Eikabran	ORT	CAS-01	A	03	05	0	H	
ORT-CAS-A0307	53I0V1--0H	Nthaeael	ORT	CAS-01	A	03	07	0	H	
ORT-CAS-A0308	33M1A2--1H	Rueirivni	ORT	CAS-01	A	03	08	1	H	
ORT-CAS-A0407	40M3A3W-1H	Ser	ORT	CAS-01	A	04	07	1	H	
ORT-CAS-A0408	22M2A2--1H	Theinaun	ORT	CAS-01	A	04	08	1	H	
ORT-CAS-A0409	21I3C1W-2H	Koloel	ORT	CAS-01	A	04	09	2	H	
ORT-CAS-A0410	41M2C2R-1H	Kvun	ORT	CAS-01	A	04	10	1	H	pending-link:ORT-CAS-E0401;pending-link:ORT-CAS-E0201;pending-link:ORT-CAS-E0301;pending-link:ORT-CAS-E0601;pending-link:ORT-CAS-E0501;pending-link:ORT-CAS-E0402
ORT-CAS-A0501	52T1A4--1H	Dreinostrbreik	ORT	CAS-01	A	05	01	1	H	
ORT-CAS-A0506	21C2L3W-1H	Straikidrelirs	ORT	CAS-01	A	05	06	1	H	
ORT-CAS-A0507	43M1E2--0H	Drousaaenavuix	ORT	CAS-01	A	05	07	0	H	
ORT-CAS-A0509	52I3L2R-1H	Outh	ORT	CAS-01	A	05	09	1	H	
ORT-CAS-A0603	23M2C2H-1H	Melbrvei	ORT	CAS-01	A	06	03	1	H	
ORT-CAS-A0604	33I1E0R-1H	Kexdrith	ORT	CAS-01	A	06	04	1	H	
ORT-CAS-A0605	43T3S2--2H	Brirekstreik	ORT	CAS-01	A	06	05	2	H	
ORT-CAS-A0607	52M0V0X-0H	Msaeastrosavil	ORT	CAS-01	A	06	07	0	H	
ORT-CAS-A0608	54S0V0H-0H	Naianithstreix	ORT	CAS-01	A	06	08	0	H	
ORT-CAS-A0701	11M2A3T-2H	Mstraeomiaeson	ORT	CAS-01	A	07	01	2	H	pending-link:ORT-CAS-B0101;pending-link:ORT-CAS-B0102
ORT-CAS-A0702	52T2A3R-1H	Drak	ORT	CAS-01	A	07	02	1	H	
ORT-CAS-A0706	31M3L2P-1H	Eithendrek	ORT	CAS-01	A	07	06	1	H	
ORT-CAS-A0707	53T1E1--1H	Draxivstror	ORT	CAS-01	A	07	07	1	H	
ORT-CAS-A0801	54M2C1X-0T	Voththaeouth	ORT	CAS-01	A	08	01	0	T	pending-link:ORT-CAS-B0101;pending-link:ORT-CAS-B0201;pending-link:ORT-CAS-B0202;pending-link:ORT-CAS-B0102
ORT-CAS-A0802	32T1A2--1H	Uxakstra	ORT	CAS-01	A	08	02	1	H	pending-link:ORT-CAS-B0201;pending-link:ORT-CAS-B0101;pending-link:ORT-CAS-B0203;pending-link:ORT-CAS-B0202;pending-link:ORT-CAS-B0102;pending-link:ORT-CAS-B0103
ORT-CAS-A0804	41M1A2P-0H	Ul	ORT	CAS-01	A	08	04	0	H	pending-link:ORT-CAS-B0104;pending-link:ORT-CAS-B0205;pending-link:ORT-CAS-B0203;pending-link:ORT-CAS-B0102;pending-link:ORT-CAS-B0103;pending-link:ORT-CAS-B0105;pending-link:ORT-CAS-B0204
ORT-CAS-A0805	44C1A3--0H	Rrouaaik	ORT	CAS-01	A	08	05	0	H	pending-link:ORT-CAS-B0104;pending-link:ORT-CAS-B0206;pending-link:ORT-CAS-B0205;pending-link:ORT-CAS-B0106;pending-link:ORT-CAS-B0103;pending-link:ORT-CAS-B0105;pending-link:ORT-CAS-B0204
ORT-CAS-A0806	54M0V0X-0H	Strsoemmai	ORT	CAS-01	A	08	06	0	H	pending-link:ORT-CAS-B0104;pending-link:ORT-CAS-B0205;pending-link:ORT-CAS-B0107;pending-link:ORT-CAS-B0207;pending-link:ORT-CAS-B0106;pending-link:ORT-CAS-B0206;pending-link:ORT-CAS-B0105
